Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     4068     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.00     0.00     2090     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
  0.00      0.00     0.00     1400     0.00     0.00  std::is_constant_evaluated()
  0.00      0.00     0.00     1373     0.00     0.00  std::vector<Point, std::allocator<Point> >::size() const
  0.00      0.00     0.00     1064     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      0.00     0.00     1062     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.00     0.00     1062     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.00     0.00     1062     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      0.00     0.00     1062     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.00     0.00     1062     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.00     0.00     1022     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      0.00     0.00     1022     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      0.00     0.00     1022     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.00     0.00     1022     0.00     0.00  char* std::addressof<char>(char&)
  0.00      0.00     0.00      991     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      0.00     0.00      962     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      0.00     0.00      924     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      0.00     0.00      920     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.00     0.00      920     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      0.00     0.00      704     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00      552     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >::__normal_iterator(std::function<void (int)> const* const&)
  0.00      0.00     0.00      552     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >::base() const
  0.00      0.00     0.00      521     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      0.00     0.00      505     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
